cap-shape_encoded,cap-surface_encoded,cap-color_encoded,bruises_encoded,odor_encoded,gill-attachment_encoded,gill-spacing_encoded,gill-size_encoded,gill-color_encoded,stalk-shape_encoded,stalk-root_encoded,stalk-surface-above-ring_encoded,stalk-surface-below-ring_encoded,stalk-color-above-ring_encoded,stalk-color-below-ring_encoded,veil-type_encoded,veil-color_encoded,ring-number_encoded,ring-type_encoded,spore-print-color_encoded,population_encoded,habitat_encoded
2.0,0.0,,0.0,5.0,1.0,,,3.0,,,2.0,0.0,,7.0,,,1.0,0.0,,,
2.0,2.0,,,,,,1.0,0.0,1.0,0.0,2.0,,,6.0,,,,,7.0,4.0,
5.0,,,0.0,,1.0,,1.0,,,0.0,,,7.0,,0.0,2.0,,0.0,,4.0,
2.0,,,1.0,,1.0,,,5.0,1.0,,,,3.0,6.0,,,1.0,4.0,,5.0,0.0
2.0,2.0,2.0,,7.0,1.0,0.0,1.0,0.0,,,,,,,0.0,,1.0,,7.0,,
,3.0,4.0,,,1.0,0.0,,0.0,1.0,0.0,1.0,2.0,,6.0,,2.0,1.0,0.0,,,2.0
5.0,,,,2.0,1.0,,,,1.0,,2.0,,,7.0,0.0,2.0,,,,3.0,
5.0,3.0,9.0,0.0,,1.0,,,2.0,,1.0,,,4.0,,,,1.0,2.0,,5.0,
2.0,0.0,,,5.0,,0.0,0.0,,1.0,1.0,,,,,,,,,2.0,4.0,0.0
2.0,,4.0,1.0,,1.0,,0.0,,1.0,1.0,2.0,,,,0.0,,1.0,,,,0.0
,,,,,,,0.0,,,1.0,2.0,,,6.0,0.0,,,,2.0,4.0,
,3.0,8.0,1.0,,1.0,,,2.0,0.0,,,2.0,,,0.0,2.0,,4.0,5.0,,3.0
,,,,3.0,,0.0,0.0,4.0,,,2.0,2.0,,,0.0,,,,2.0,2.0,
,,,0.0,,,,0.0,4.0,1.0,,0.0,2.0,,,0.0,,1.0,0.0,2.0,,1.0
,0.0,4.0,,,,,,4.0,,3.0,,2.0,,,0.0,,1.0,4.0,,,5.0
,,3.0,,5.0,,,,,,1.0,2.0,2.0,,6.0,0.0,2.0,,,,4.0,
,3.0,,,0.0,,,0.0,10.0,,,2.0,,,7.0,0.0,,,,,2.0,1.0
